title,description,price,square,province,district,ward,post_date,num_bedrooms,num_toilets,num_floors,link,_ingestion_timestamp,_partition_province,_partition_year,_partition_month,_parsed_post_date,price_vnd,square_m2,post_date_parsed,title_clean,province_clean,district_clean,ward_clean,price_per_m2,has_price,has_square,has_location,quality_score,dedup_key
"GẤP > GẤP: BÁN GẤP NHÀ 3 TẦNG 3PN 4WC HOÀN CÔNG -  XE HƠI ĐẬU CỬA 24/24 GẦN CHỢ THỦ ĐỨC, ĐẶNG VĂN BI - GIÁ CỰC RẺ","Nhà 1 trệt 2 lầu, với thiết kế hiện đại, bao gồm 3 phòng ngủ rộng rãi và 4 toilet tiện nghi, sẵn sàng đáp ứng nhu cầu sinh hoạt của gia đình bạn. Sổ riêng hoàn công, đảm bảo tính pháp lý rõ ràng. Đây là không gian lý tưởng cho cuộc sống thoải mái và tiện nghi. Hãy đến xem và trải nghiệm ngay!",6 tỷ,50 m2,ho_chi_minh,Quận Thủ Đức,Trường Thọ,16/10/2025,3,4,3,https://bds.com.vn/gap---gap--ban-gap-nha-3-tang-3pn-4wc-hoan-cong----xe-hoi-dau-cua-2424-gan-cho-thu-duc-dang-van-bi---gia-cuc-re-p608780.html,2025-12-15T22:51:11.682766,ho_chi_minh,2025,10,2025-10-16T00:00:00,6000000000.0,50.0,2025-10-16,"gấp > gấp: bán gấp nhà 3 tầng 3pn 4wc hoàn công -  xe hơi đậu cửa 24/24 gần chợ thủ đức, đặng văn bi - giá cực rẻ",ho_chi_minh,Quận Thủ Đức,Trường Thọ,120000000.0,1,1,1,3,02a9fb89c29b4a98d9ea262d35805dfc
"BÁN NHÀ SIÊU ĐẸP 7 TẦNG BỒ ĐỀ - LONG BIÊN - Ô TÔ 7 CHỖ VÀO NHÀ - VỪA Ở VỪA KINH DOANH ĐƯỢC - MẶT NGÕ THÔNG - CHỈ 14,8 Tỷ","NHÀ ĐẸP 7 TẦNG - THANG MÁY - MẶT NGÕ THÔNG - Ô TÔ 7 CHỖ VÀO NHÀ - PHÙ HỢP KINH DOANH CHỈ 14,8 Tỷ+ Diện tích : 65 m2 + Mặt tiền : 6m+ Vị trí đắc địa, khu vực Víp hiếm có khó tìm, nhà cách mặt phố 20m, ngõ rộng 6m xe ô tô 7 chỗ vào nhà.
+ Nhà xây mới 7 tầng thang máy, nhà hoàn thiện đẹp về ở ngay, nội ngoại thất châu âu, phong cách hiện đại, ai mua về tiện ở hoặc làm nghề và KD nhỏ.
+ Ngõ thông ra nhìu tuyến phố lớn của Quận
- Diện tích tầng 1 là 63m2, từ tầng 2 đua ra được hơn 68m2.
- Tầng 1:  Kinh Doanh + Gara ô tô + 1 WC
- Tầng 2:  1 phòng khách rộng + 1 phòng bếp + 1 WC
- Tầng 3:  1 phòng ngủ rộng + 1 WC
- Tầng 4:  1 phòng ngủ rộng + 1 WC
- Tầng 5 - 2 Phòng ngủ rộng + 1 WC
- Tầng 6: 1 Phòng thờ
- Tầng 7: Sân vườn + sân phơi
+ Nội thất đầy đủ theo phong cách với hệ thống điện và báo cháy hiện đại nhất 2022 theo tiêu chí Châu Âu . Khách mua về chỉ việc vào ở
+ Sổ Đỏ vuông đẹp chính chủ
LH 0358785683  ĐỂ ĐƯỢC XEM NHÀ FREE - MIỄN TIẾP MÔI GIỚI !!!",14.8 tỷ,68 m2,ha_noi,Quận Long Biên,Phường Bồ Đề,16/10/2025,4,5,7,https://bds.com.vn/ban-nha-sieu-dep-7-tang-bo-de---long-bien---o-to-7-cho-vao-nha---vua-o-vua-kinh-doanh-duoc---mat-ngo-thong---chi-148-ty-p469284.html,2025-12-15T22:46:55.201223,ha_noi,2025,10,2025-10-16T00:00:00,14800000000.0,68.0,2025-10-16,"bán nhà siêu đẹp 7 tầng bồ đề - long biên - ô tô 7 chỗ vào nhà - vừa ở vừa kinh doanh được - mặt ngõ thông - chỉ 14,8 tỷ",ha_noi,Quận Long Biên,Phường Bồ Đề,217647058.82352942,1,1,1,3,058729866bac4e5a211094aef8b66de8
Bán nhà Cống Lở HXH 4m thẳng trục 48m2 4.55 tỷ .,"=> Nhà gồm : 1 trệt 1 lầu, 2 phòng ngủ, 2wc, bếp, phòng khách. Mới đẹp khách có thể vào ở ngay.=> Hẻm trước nhà 4m , thẳng 1 trục nhìn ra mặt tiền . An ninh sạch sẽ .=> Sổ đẹp ( 4mx12m ) , chính chủ , mua bán nhanh.",4.55 tỷ,48 m2,ho_chi_minh,Quận Tân Bình,Phường 15,16/10/2025,2,2,2,https://bds.com.vn/ban-nha-cong-lo-hxh-4m-thang-truc-48m2-455-ty--p453832.html,2025-12-15T16:30:48.981970,ho_chi_minh,2025,10,2025-10-16T00:00:00,4550000000.0,48.0,2025-10-16,bán nhà cống lở hxh 4m thẳng trục 48m2 4.55 tỷ .,ho_chi_minh,Quận Tân Bình,Phường 15,94791666.66666667,1,1,1,3,0955c84ad1c4552d0d08bccaf6caa0c7
BÁN NHÀ CẦU GIẤY NGÕ THÔNG  54m 3T GIÁ 5.85TỶ,"BÁN NHÀ CẦU GIẤY NGÕ THÔNG  54m 3T GIÁ 5.85TỶ . + Nhà có vị trí đẹp cách ô tô vài bước chân,ngõ thông rộng , rất gần phố , giao các phố Quan Hoa, Nguyễn Khánh Toàn, Bưởi, Nguyễn Đình Hoàn. Khu vực tiện ích ngập tràn không thiếu thứ gì, gần trường, chợ, siêu thị và nhiều tiện ích khác. Đường trước nhà xe máy tránh . Nhà thiết kế 3 tầng gồm có phòng khách, bếp, 3 phòng ngủ, 2 WC, phòng thờ và sân phơi + Sổ đỏ đẹp, Pháp lý rõ ràng giao dịch ngay + Liên hệ để xem nhà 0946648526.",5.85 tỷ,54 m2,ha_noi,Quận Cầu Giấy,Phường Dịch Vọng,16/10/2025,3,2,3,https://bds.com.vn/ban-nha-cau-giay-ngo-thong--54m-3t-gia-585ty-p484048.html,2025-12-15T22:47:22.127938,ha_noi,2025,10,2025-10-16T00:00:00,5850000000.0,54.0,2025-10-16,bán nhà cầu giấy ngõ thông  54m 3t giá 5.85tỷ,ha_noi,Quận Cầu Giấy,Phường Dịch Vọng,108333333.33333333,1,1,1,3,0a0551a03dc03217a9e803d39d9ff6c7
"Nhà đường Tân Xuân 3B, DT: 4x21m (công nhận 84m2) 1T+1Lửng","Nhà tôi tọa lạc tại đường Tân Xuân 3B, Hóc Môn, với diện tích 4x21m (công nhận 84m2). Ngôi nhà mới xây đẹp, thiết kế 1 tầng và 1 lửng, gồm 4 phòng ngủ thoáng mát, phù hợp cho gia đình đông người.

Vị trí nhà nằm trong khu dân cư yên tĩnh, bao quy hoạch, chỉ cách đường Tô Ký vài phút đi xe máy, thuận tiện di chuyển về Gò Vấp. Hẻm trước nhà rộng 5m, dễ dàng tiếp cận.

Sổ mới hoàn công đầy đủ, tôi hỗ trợ vay ngân hàng với lãi suất ưu đãi. Giá bán hiện tại là 3,2 tỷ. Mọi chi tiết xin vui lòng liên hệ qua số điện thoại để có cơ hội xem nhà. Cảm ơn quý khách đã quan tâm!",3.2 tỷ,85 m2,ho_chi_minh,Huyện Hóc Môn,Hóc Môn,16/10/2025,4,2,2,https://bds.com.vn/nha-duong-tan-xuan-3b-dt--4x21m-cong-nhan-84m2-1t1lung-p611560.html,2025-12-15T16:29:37.569369,ho_chi_minh,2025,10,2025-10-16T00:00:00,3200000000.0,85.0,2025-10-16,"nhà đường tân xuân 3b, dt: 4x21m (công nhận 84m2) 1t+1lửng",ho_chi_minh,Huyện Hóc Môn,Hóc Môn,37647058.823529415,1,1,1,3,0c5413193b626a07959c4171d2843445
Ô TÔ VÀO NHÀ - NGÕ TO THÔNG THOÁNG CÁCH MẶT PHỐ CHỈ 50M - NHÀ MỚI ĐẸP Ở LUÔN,"Ô TÔ VÀO NHÀ - NGÕ TO THÔNG THOÁNG CÁCH MẶT PHỐ CHỈ 50M - NHÀ MỚI ĐẸP Ở LUÔN

Ngõ3 Nhân Hoà: 34m2 - 5tầng - MT 5.6m - Giá 8.6 tỷ
+ Nhà trung tâm quận Thanh Xuân, ngõ cạnh trường cấp 2 Phan Đình Giót, thông thoáng ô tô vào nhà thoải mái
+ Khu vực vip nhất quận Thanh Xuân, gần chợ thuốc Hapulico, gần Quận Uỷ Thanh Xuân, phố Hoàng Đạo Thuý, Nguỵ Như Kom Tum, Vũ Trọng Phụng.
+ Khu vực dân trí cao ngút, tiện ích ngập tràn, gần nhiều trường học, trung tâm thương mại khu vui chơi giải trí, an sinh đỉnh.
+ Nhà chủ tự xây tâm huyết, nội thất sịn sò, sang trọng tiện nghi
- Tầng 1: Gara ô tô, bếp và wc.- Tầng 2: phòng khách và khu thờ phụng- Tầng 3: 1 phòng ngủ master rộng và wc- Tầng 4: 2 phòng ngủ và wc- Tầng 5: phòng ngủ và sân phơi",8.6 tỷ,34 m2,ha_noi,Quận Thanh Xuân,Phường Nhân Chính,16/10/2025,4,3,5,https://bds.com.vn/o-to-vao-nha---ngo-to-thong-thoang-cach-mat-pho-chi-50m---nha-moi-dep-o-luon-p462265.html,2025-12-15T22:46:29.161718,ha_noi,2025,10,2025-10-16T00:00:00,8600000000.0,34.0,2025-10-16,ô tô vào nhà - ngõ to thông thoáng cách mặt phố chỉ 50m - nhà mới đẹp ở luôn,ha_noi,Quận Thanh Xuân,Phường Nhân Chính,252941176.47058824,1,1,1,3,0d819d3a3cca3eaf8099fdd3736d8dc0
"Bán Nhà Kinh Doanh VP Nguyễn Chí Thanh, Đống Đa 55m, 8 tầng, mt 6.7m, giá 19.5 tỷ","Bán nhà kinh doanh văn phòng tại phố Nguyễn Chí Thanh, quận Đống Đa. Diện tích 55m2, 8 tầng, mặt tiền rộng 6.7m, giá chỉ 19.5 tỷ. Đây là một cơ hội tuyệt vời cho những ai đang tìm kiếm một vị trí đắc địa để phát triển kinh doanh. Liên hệ ngay với tôi, em Lan, qua số điện thoại 0975258510 để biết thêm chi tiết và sắp xếp lịch xem nhà.",19.50 tỷ,55 m2,ha_noi,Quận Đống Đa,Phường Láng Thượng,16/10/2025,5,5,8,https://bds.com.vn/ban-nha-kinh-doanh-vp-nguyen-chi-thanh-dong-da-55m-8-tang-mt-67m-gia-195-ty-p616719.html,2025-12-15T22:49:43.286705,ha_noi,2025,10,2025-10-16T00:00:00,19500000000.0,55.0,2025-10-16,"bán nhà kinh doanh vp nguyễn chí thanh, đống đa 55m, 8 tầng, mt 6.7m, giá 19.5 tỷ",ha_noi,Quận Đống Đa,Phường Láng Thượng,354545454.54545456,1,1,1,3,0df48403aa18e2a2d150be7dcdffb1ac
"Nhà Đẹp Ngõ Ô TÔ Trương Định, Hoàng Mai 54m, 4 tầng, mt 3.8m, giá 10.5 tỷ.","Nhà đẹp nằm trong ngõ ô tô Trương Định, Hoàng Mai với diện tích 54m2, xây dựng 4 tầng và mặt tiền 3.8m, giá chỉ 10.5 tỷ.

Nhà mới hoàn toàn, ô tô đỗ cửa thuận tiện, trang bị đầy đủ nội thất cao cấp. Kiến trúc hiện đại với mỗi tầng gồm 2 phòng rộng rãi, vệ sinh khép kín và ánh sáng tự nhiên tràn ngập. Nội thất được trang bị điều hòa Daikin nhập khẩu từ Thái, thiết bị bếp Boss, gạch lát Tây Ban Nha, cùng với giường tủ và sofa nhập khẩu chất lượng cao.

Chi phí xây dựng và hoàn thiện đã lên tới gần 4 tỷ, khách hàng chỉ cần dọn vào ở ngay. Vị trí nhà cực kỳ thuận lợi, nằm cách đường ô tô tránh nhau chỉ 15m và gần các ngã tư Tân Mai, Trương Định, Hồ Đền Lừ.

Sổ đỏ đẹp, sẵn sàng cho giao dịch. Liên hệ ngay em Lan qua số điện thoại 0975258510 để biết thêm thông tin chi tiết.",10.50 tỷ,54 m2,ha_noi,Quận Hoàng Mai,Phường Tân Mai,16/10/2025,5,3,4,https://bds.com.vn/nha-dep-ngo-o-to-truong-dinh-hoang-mai-54m-4-tang-mt-38m-gia-105-ty-p616697.html,2025-12-15T22:46:05.254821,ha_noi,2025,10,2025-10-16T00:00:00,10500000000.0,54.0,2025-10-16,"nhà đẹp ngõ ô tô trương định, hoàng mai 54m, 4 tầng, mt 3.8m, giá 10.5 tỷ.",ha_noi,Quận Hoàng Mai,Phường Tân Mai,194444444.44444445,1,1,1,3,0f5660048d1b39255753a4424bc96ab1
"HXH Hà Huy Giáp 82m2 NGANG 5M, hẻm thẳng 1 trục, ngay ngã tư Ga","- Cần bán nhà Quận 12 ngay cầu vượt ngã tư Ga để trả nợ ngân hàng

- Diện tích 82m2 (5x16.2) vuông vức

- Nhà C4 có 2 mặt hẻm trước và sau, hẻm thẳng 1 trục xe hơi đậu được trong nhà

- Một bước chân ra Hà Huy Giáp, cầu vượt Ngã tư Ga về Nguyễn Oanh Gò Vấp, Bình Thạnh

- Khu vực an ninh, yên tĩnh, hàng xóm hiền lành, thân thiện

- Pháp lý chuẩn, sổ vuông sẵn sàng công chứng

GỌI NGAY: 0931 434 456 gặp Nam Nhà Phố để nhận hỗ trợ TƯ VẤN miễn phí, xem và gặp CHÍNH CHỦ thương lượng, lựa chọn nhiều nhà đất RẺ, ĐẸP theo nhu cầu",3.95 tỷ,82 m2,ho_chi_minh,Quận 12,Thạnh Xuân,16/10/2025,2,1,1,https://bds.com.vn/hxh-ha-huy-giap-82m2-ngang-5m-hem-thang-1-truc-ngay-nga-tu-ga-p469243.html,2025-12-15T16:32:07.773837,ho_chi_minh,2025,10,2025-10-16T00:00:00,3950000000.0,82.0,2025-10-16,"hxh hà huy giáp 82m2 ngang 5m, hẻm thẳng 1 trục, ngay ngã tư ga",ho_chi_minh,Quận 12,Thạnh Xuân,48170731.70731708,1,1,1,3,10582b175d315b1f2b952b4e980a0a33
Bán nhà Hoa Bằng 5T TT Cầu Giấy. 48m2 KD đỉnh. Ngõ thông 3 bước chân ra ô tô tránh.,"Nhà mới xây tại Hoa Bằng, diện tích 48m², 5 tầng, mặt ngõ thông kinh doanh tuyệt vời, chỉ cách ô tô tránh 3 bước chân. Đây là cơ hội hiếm có với giá 9 tỷ 9, không có căn thứ hai trong tầm giá này!

Mô tả chi tiết:
- Vị trí đắc địa, gần chợ, ngõ thông thoáng, dễ dàng di chuyển.
- Ngõ trước nhà rộng 3m, thoáng đãng.
- Diện tích 48m² với mặt tiền 4,9m, thiết kế hợp lý:
- Tầng 1: Khu vực kinh doanh + Bếp + WC.
- Tầng 2: Phòng khách + 1 phòng ngủ.
- Tầng 3 và 4: Mỗi tầng gồm 2 phòng ngủ + WC.
- Tầng 5: Phòng thờ + Sân phơi rộng rãi.

Giá 9 tỷ 9, có thương lượng cho khách hàng thiện chí. Sổ đỏ chính chủ, giao dịch ngay trong ngày. Liên hệ với tôi để lên lịch xem nhà!",9.9 tỷ,48 m2,ha_noi,Quận Cầu Giấy,Phường Yên Hoà,16/10/2025,5,5,5,https://bds.com.vn/ban-nha-hoa-bang-5t-tt-cau-giay-48m2-kd-dinh-ngo-thong-3-buoc-chan-ra-o-to-tranh-p616419.html,2025-12-15T22:46:05.255405,ha_noi,2025,10,2025-10-16T00:00:00,9900000000.0,48.0,2025-10-16,bán nhà hoa bằng 5t tt cầu giấy. 48m2 kd đỉnh. ngõ thông 3 bước chân ra ô tô tránh.,ha_noi,Quận Cầu Giấy,Phường Yên Hoà,206250000.0,1,1,1,3,118f39eaca0b7955d63a5b04fd80eaaa
